term,definition,session,sessionname
substanzialistische Definitionen der Religion, , 2,
funktionalistische Definition der Religion, , 2,
Theologie, ,2, 
Religionswissenschaft, ,2,
Familienähnlichkeit, ,3, 
Religion als System, ,3, 
Religion als Funktion, ,3, 
Religion als Seinsordnung, ,3,
Ritual, ,4,
Exegese, ,4,
Charisma, ,5,
Genese, ,5, 
Selbststigmatisierung, ,5, 
Gender, ,6,
Normativität, ,7, 
Orthodoxie, ,7,
Heterodoxie, ,7, 
Häresie, ,7, 
Diskursiver Religionsbegriff, ,9, 
Transzendenz, ,10, 
Competitive sharing, , 10,
Religionspsychologie, , 11, 
extrinsisch religiös, , 11,
intrinsisch religiös, , 11, 
Säkularisierungstheorie, ,11, 
Resonanzraum, , 11, 
Immanenz, ,12,  
Digitale Religion, ,12,
Mediation, ,12, 
Mediatization, ,12,
Third spaces, ,12, 
tripod, ,12, 
Religiöse Identität, ,12,
Religiöse Autorität, ,12, 
Agency, ,13, 
Fundamentalismus, , 13, 
Extremismus, ,13, 
Radikalisierung, ,13, 
Weltlfucht, ,13,
Weltbeherrschung, ,13, 
Systematische Diskriminierung, ,13, 
